Unnamed: 0,unique_participant,האם דבר מסוים התרחש בניסוי בכל מספר צעדים קבוע?,האם יש לך שאלות כלליות או הערות על הניסוי?,"האם לדעתך הייתה חוקיות מסוימת ששלטה בקפיצת העיגולים? אם כן, מה היא הייתה?",האם לדעתך הייתה חוקיות נוספת ששלטה בהבזקים הלבנים?,"האם שמת לב לכך שלעתים העיגולים ""קפצו"" ממקומם? ",האם שמת לב לכך שלעתים העיגולים הבזיקו בלבן?,מה היה הקשר בין הבזקים האלה ובין תגובותיך?,מה לדעתך הייתה מטרת הניסוי?,מה לדעתך הייתה מטרתה של הקפיצה?
104,374:2022-08-02 12:18:06.076,לא יודעת,לא,לא יודעת,לא יודעת,כן,כן,כשההבזק היה לכיוון אליו הופיע העיגול הבא התגובה שלי הייתה מהירה יותר לרוב,לבדוק האם יש השפעה של הקפיצות של העיגולים על מהירות התגובה שלי ולבדוק האם שמתי לב לזה שיש לזה השפעה,לבדוק את ההשפעה של הקפיצה על מהירות התגובה שלי0 אם הקפיצה הייתה לכיוון של העיגול הבא אז זה הכין את תשומת הלב שלי למקום הנכון ואם היה הפוך אז זה גרם לתשומת לב לכיוון הלא נכון והאטה בתגובה
105,375:2022-08-01 16:05:34.699,לא שמתי לב לכך,הוא היה ממש נחמד הרגיש כמו לנגן בפסנתר,לא שמתי לב לחוקיות,לא שמתי לב לחוקיות,כן לאחר שלחצתי את התשובה,כן,השאלה לא ברורה,אין לי רעיון,לגרום לי לחשוב שהעיגול הבא יגיע מהכיוון של הקפיצה
106,376:2022-08-01 16:51:17.913,לא יודעת,מעיי,לא יודעת,לא יודעת,כן,כן וזזו לעמודה אחרת,חשבתי שהתזוזה של הנקודה אומרת איפה היא תהיה בפעם הבאה אבל לא נראה לי,לא יודעת אבל הוא היה מעיי,חשבתי שזה מעיד על העמודה הבאה לא היו הבזקים כשטעיתי אני חושבת
107,377:2022-08-03 11:27:01.032,הבזקים בצבע לבן ,לא,לא ,לדעתי כן ,נכון , כן ,לא השפיע עליי,לבדוק הקשר למהירות התגובה,לשנות צבע או מהירות
108,378:2022-08-01 19:17:54.920,לא ששמתי לב,לא תודה,אני חושב שאם צדקתי בכל הצבעים,אני חושב שכאשר דייקתי בכל הצבעים ,לא,אני חושב שכן,לקח לי זמן לעכל ואני חושב שטעיתי,אולי לבחון את המהירות תגובה,אולי לבלבל
109,379:2022-08-03 16:20:31.999,לא,לא,לא,לא,כן,כן,ככל שלקח לי יותר זמן להגיב העיגול הלבן זז יותר הצידה,בדיקת מהירות תגובה,להראות את מהירות התגובה שלי
110,38077:2022-07-14 17:04:11.827,לא יודע,לא,לא יודע,לא נראה לי,כן,כן ,לא יודע,לפי השאלות לבדוק האם אנשים מזהים סדריות בכול דבר,לא יודע
111,38137:2022-07-31 11:44:09.646,לא,לא,לא הייתה חוקיות,לא,כן,כן,כשהגבתי נכון התרחש ההבזק,מטרת הניסוי הייתה לבחון האם צורה מסוימת של משוב גורמת לתגובות נכונות,לבלבל
112,38278:2022-07-14 23:11:08.287,כל פעם שהפסיק צבע אחד לזמן מה הוא חזר 3 פעמים ברציפות לפחות,משחק מגניב,לא יודעת,לא,כן,כן         ,לא חושבת שהיה קשר,לא ידוע,להוציא מריכוז
113,382:2022-08-03 15:22:21.264,כן,לא,לא יודעת אולי לרמוז על הבא בתור,לא,כן,  לא,לא יודעת,לא יודעת,לטשטש או לרמוז יהיה הבא בתור
114,383:2022-08-04 13:55:00.768,לא שמתי לב,לא תודה רבה,לא שמתי לב,בחלק מהפעמים שמתי לב לחוקיות מסויימת,כן,כן,ההבזקים מידי פעם בילבלו אותי,לראות כיצד הבזקי רקע כללים משפיעים על המחשבה הבאה שלנו,להטעות על המיקום הבא של הכדורים
115,38500:2022-08-04 12:22:40.539,לא,לא,לא יודעת,לא,כן,כן,בלבל אותי,לבדוק תגובות,לבלב
116,38512:2022-08-04 11:46:56.656,לא,לא,לא יודעת,לא,כן,כן,זה היה בלבן כשלחצתי על הדבר הנכון בזמן,קשב וריכוז,לבלבל
117,385:2022-08-09 12:21:35.857,לא שמתי לב,לא,מניחה שכן ,לא שמתי לב אליהם אבל אני יכולה להניח שזה לפי מהירות התגובה או הצלחת התגובה,כן,לא,לא שמתי לב אליהם,לראות קשר בין מהירות תגובה או תשומת לב בהתאם להתרחשויות הקורות תוך כדי ,להראות שהכדור בדרך ליפול
118,386:2022-08-04 14:11:04.584,לא שמתי לב,לא,לא,לא נראה לי,כן,כן,הטעה אותי,לבדוק ריכוז ומהירות,להטעות את העיניים
119,38764:2022-11-11 12:54:39.257,לא שמתי לב,לא,לדעתי היתה חוקיות מסוימת לא הצלחתי לזהות איזו,לא,כן,כן,כאשר הצלחתי ללחוץ על המקש הנכון בזמן הכדור הבזיק בלבן,לבדוק את הקשב לדברים שקורים במקביל למשימה שבה צריך להתמקד,לסמן שלחצתי על המקש הנכון
120,387:2022-08-07 15:38:14.406,לא,לא,לא,לא,לא,כן ,לחצתי שראיתי,לראות קליטה,לא שמתי לב אליה
121,38842:2023-05-13 16:08:01.659,לא הבחנתי,לא,לא בטוחה,לדעתי מתישהו היו מצביעים איפה הכדור הבא עלול להיות,כן,כן,לא בטוחה הם הפריעו,לבדוק האם הריצודים מפריעים לתגובה מהירה,להראות איפה הכדור הבא עומד להיות
122,38860:2022-11-16 15:29:52.362,לא שמתי לב למשהו כזה,לא,ככל שאני יותר מאחרת בתגובה ככה הם קופצים יותר רחוק,לא שמתי לב אם כן או לא,כן,כן,אני חושבת שככל שאיחרתי יותר עם התגובה ככה העיגולים הלבנים היו רחוקים יותר מהכדור הצבוע,לראות אם אנחנו מצליחים לשים לב לדפוסים קבועים כשאנחנו משתדלים להתרכז לאורך זמן רב,אולי להסיח את דעתי ולהוציא אותי מריכוז
123,38923:2022-11-26 10:57:39.913,לא שמתי לב,אין לי ,לא יודעת,לא ,כן,כן,אם הצלחתי ללחוץ בזמן מהיר אז העיגול נהיה לבן,מהירות תגובה,לבלבל לי את התפקסות העין
124,38962:2022-12-14 12:02:03.390,לא ששמתי לב,לא,לא,לא,כן,כן,זה קצת הסיח את דעתי לתגובות הבאות,לראות את מהירות התגובה והדיוק לאחר קפיצות של העיגולים,הזזת//מיקוד תשומת לב
125,38965:2022-12-08 15:14:11.125,לא שמתי לב,לא,שכחתי לכתוב מקודם העיגולים רק הבזיקו בלבן כאשר לחצתי נכון בנסיון הראשון לגבי חוקיות של הקפיצות לא בטוחה לגבי חוקיות אך היה מגוון בכיוונים כפי שציינתי,הם הבזיקו לכל הכיוונים למעלה למטה ולטורים אחרים אך לא יודעת אם היתה לכך חוקיות מסויימת או לא,כן,כן,ההבזקים שינו מקום ובכך בלבלו אותי לפעמים,לראות את ההשפעה של ההבזקים והקפיצות על ההצלחה שלי במשחק,לבלבל
126,38998:2023-04-20 15:24:22.892,לא,לא,כן בעיקר באס,לא,כן,כן,לא יודע,לבדוק מהירות תגובה,לבלבל
127,39049:2022-12-26 18:30:00.820,לא,לא,לא,כן,כן,כן,לא היה קשר,לבדוק האם הטעיות יכולות לערער את הביטחון שבפעולת האדם,להראות שטעיתי בלחיצות הקודמות
128,39058:2022-11-09 14:26:38.104,לא שמתי לב,לא,כמו שרשמתי אם הייתי מצליח לתפוס אותו בצורה מהירה הוא היה פשוט נעלם אם לא אז הוא היה מבליח בצבע לבן בעמודה סמוכה לו ולא נעלם פשוט,לא,כן,כן,אם הצלחתי ללחוץ מהר מספיק אז העיגול היה מבליח בצבע לבן ואם הצלחתי לתפוס אותו שנייה לפני שהוא מסיים את מסלול הוא היה מבליח בצבע לבן ומופיע ימינה או שמאלה מהעמודה,לבחון את ההשפעה של שינויי מיקומים והפרעות על מידת ההצלחה שלנו במשחק,אולי להסיח ולבלבל
129,39082:2022-11-28 15:32:27.990,לא ששמתי לב,למען האמת הרגשתי שהקפיצות מבלבלות אותי יתר מדי ולא כל כך הבנתי את מטרת הניסוי,לא ששמתי לב היא לא ניבאה או משהו כזה,לא ששמתי לב,כן,כן,כשהתגובות היו נכונות היו הבזקים,לראות את תגובותיי למרות הקפיצות שניסו לבלבל אותי כך הרשתי בכל אופן,לבלבל את העיניים שלי
130,390:2022-08-09 15:18:30.369,לא ששמתי לב,לא תודה,לא,לא ,כן, כן,כשעניתי נכון,מהירות קליטה עיבוד מידע ותגובה,לבלבל
131,39157:2022-11-27 14:45:21.550,לא,לא,לפי כמות הזמן שלקח ללחוץ על האות,לא,כן,כן,אחרי כל לחיצה נכונה הופיע הבזק נכון,מהירות תגובה ,לבלבל 
132,39172:2022-11-10 18:26:21.046,לא שמתי לב למשהו כזה,זה היה נחמד מאוד הייתי שמח לדעת מה מטרת הניסוי באמת הייתה,כל פעם שהגבתי באיטיות  הם קפצו והם גם בהקו,לא,כן,כן,אני חושב שכאשר הגבתי באיטיות הם זזו לצדדים,לבדוק מהירות תגובה והתעייפות לאורך זמן במהלך משימה רפטטיבית,לבלבל אותי
133,391:2022-08-07 12:35:18.814,לא שמתי לב,אשמח לדעת על מה הניסוי ,כמו שהסברתי על ההבזקים,אני חושבת שכשהם הופיעו באותה השורה של העיגול הנוכחי ולא בצד העיגול הבא היה שוב באותה השורה,כן,כן,ניסיתי לבדוק האם מיקום ההבזק הוא הצבע הבא שבו יופיע העיגול הבא,לבדוק האם אנשים מחפשים חוקיות וסדר מסוים במהלך הניסוי על מנת להקל על עצמם,לבלבל אותי לגבי העיגול הבא
134,39211:2023-04-18 09:49:55.499,לא,היה קצת ארוך מדי ,לא,לא היה רנדומלי,כן, כן ,לא נראה לי,לבדוק איך גירויים מסיומיים יכולים להשפיע על זמן ו דייקנות התגובה,אולי לגרום לי לטעות בכדור הבא
135,39217:2023-04-18 10:52:06.231,לא שמתי לב,לא,לא,לא יודע,כן,כן,הייתה יותר מהירה,לבדוק את הקשר בין הרפלקסים לצבעים ,אין לי מושג
136,39220:2022-12-09 09:47:15.404,לא ששמתי לב ,לא תודה רבה ,אולי איפה יופיע העיכול בפעם הבא,לא,לא,כן,אם הצלחתי ללחוץ בזמן הנכון על האות הנכונה,לשים לב לקשב וריכוז אם שמתי לב לרעשי רקע,לא יודעת
137,39226:2022-11-30 10:13:44.397,כן,לא,לא יודיע,לא,כן,כן,  הצבעים ,דיוק ו מהירות התשובה,תמהר את התשובה שלנו
138,39253:2023-06-06 14:38:32.224,לא,לא,לא,לא,כן,   ,תגובותיי תלויות במיקום הבזקים,לבדוק את הקשב לאחר זמן מסוים,טעות במערכת
139,39289:2022-11-17 13:29:15.161,לא בטוחה,לא,לא בטוחה,לא,כן,כן,הם  רמזו לי על התגובה הבאה,קשב,לרמז לי על הגירוי הבא
140,392:2022-08-09 21:21:23.599,לא ששמתי לב,לא,לא יודעת,לא ששמתי לב,לא,כן,ההבזד הלבן זז ימינה לצד,בחינה של מהירות תגובה עפ משתנים שונים,לא יודעת
141,39301:2022-11-27 14:45:57.191,לא,לא,לא,לא,כן,כן,ההבזקים היו מבלבלים הופיעו בלבן ולא במיקום של אותו צבע ,מהירות תגובה,לבלבל בין האותיות ומהקשים
142,39325:2022-12-19 17:01:29.225,כן כל פעם היה את אותו צבע כמה פעמים,ניסוי מעניין בהצלחה,כל פעם כשהצלחתי אז העיגולים קפצו ,לא,כן,     כן   ,קשר שכל פעם שהצלחתי היה לבן ,לבדוק האם אני מצליחה להתרכז כמו שצריך וגם לבדוק פעילות של צדדים במוח ,זה זז כשאני הצלחתי 
143,39328:2022-12-01 13:47:57.090,לא,לא,אולי כאשר עונים בזמן מאוחר היא קופצת,לא,כן,כן,כאשר התשובה נכונה הן מופיעות,אולי לבדיקת היכולת להתרכז ביותר מדבר אחד באותו זמן,אולי כאשר הכדור תהייה למטה היא קופצת
144,39334:2023-02-17 17:37:59.678,אם אין לא טועה הרגשתי שיש חוקיות מסוימת בה העיגולים נופלים,אין,לא חשבתי שיש חוקיות מסוימת,לא שמתי לב לחוקיות של הבזקים רק שמתי לב שהם קיימים בלי לתת להם משמעות,נראה לי שפעם אחת , כן,לא הבנתי את השאלה הבזקים היו מופיעים במקום שונה ממקום העיגול כמו זזים הצידה ונעלמים,לבדוק איך המוח לומד כשיש חזרתיות מסוימת,חשבתי שזה פשוט איך המשחק מובנה
145,39334:2023-02-23 22:58:24.369,לא שמתי לב,לא,לא שמתי לב לחוקיות,לא שמתי לב לחוקיות,כן,כן,אין קשר,לא יודעת,לא יודעת
146,39346:2022-12-22 23:05:34.896,לא שמתי לב,לא,לדעתי זה היה רנדומלי ,אולי אחרי מספר פעמים שההבזקים זזו הצידה הם גם נכנסו פנימה,כן,כן,בכל פעם שלחצתי בזמן הכדור הפך ללבן וזז,לראות האם אני מרוכזת רק באיזה כפתור ללחוץ או גם מסתכלת על מה קורה מעבר,להוציא אותי מריכוז 
147,39358:2023-01-01 17:36:22.706,כן הצדדים היו יחסית סימטריים בחזרות,לא,לא,לא חשבתי על זה אז לא שמתי לב,שמתי לב שההבהוב זז הצידה,כן,לא כל כך השפיע עליי לדעתי לעיתים בלבל אותי כששמתי אליהם לב,לבדוק קשב כשלון והתמודדות עם שגיאה,למשוך את הקשב שלי למקוב ההבהוב של הכדור
148,39388:2022-11-25 15:41:33.191,לא,לא,לא יודעת,לא,כן,כן ,כשצדקתי היה הבזק,לבדוק קשב וריכוז,אם צודקים יותר מפעם אחת רצו
149,39391:2022-12-07 10:11:17.198,לא,לא,לחץ על כפתור המשחק,כן,כן,  ,  ,ריכוז ומהירות,אין לי מושג
150,393:2022-08-07 12:51:23.247,לא ששמתי לב,לא,הייתי בטוחה שזה ירמז על איפה יפול העיגול הבא אבל זה לא היה ככה בסו,לא ששמתי לב,כן,כן,לעיתים האטו אותה או בלבלו אותי,לבדוק ריכוז וערנות ותשומת לב לפרטים הקטנים במהירות,לבלבל ולהסיח את הדעת
151,39460:2023-01-19 17:26:16.411,חוזר על רציפות מסוימת,לא,לא,לא,כן,כן,הם מופיעים כאשר התשובה נכונה,לא יודעת,לדעתי אין מטרה
152,39469:2022-11-28 11:16:23.586,כל עיגול הוביל לשינוי במספר האחוזים שהופיעו בתחתית המסך,לא ,לא יודעת,לא יודעת,כן,כן,לא שמתי לב,בעקבות הניסוי אפשר לשער שהמטרה הייתה לבחון קשב וריכוז או אולי קשר עין ויד לעומת זאת בעקבות השאלות אפשר לשער שהמטרה הייתה לבחון תשומת לב לדפוסים,לעודד ריכו
153,39490:2022-12-21 23:03:01.367,לא,לא תודה ,לא,לא שמתי לב,כן ,כן,מהירות תגובה,תגובת מהירות לצבעים ,לבלבל 
154,39523:2023-05-22 12:22:59.833,לא,לא,לא חושבת,לא,כן שמתי לב ברור,  ,מהירות ללחוץ במקביל תפיסת צבע,איזה צבע תופבים אותו מהר יחסית לצבעים אחרים ללחיצת כפתור,לבדוק ריכוז הנבדק
155,39580:2023-03-27 21:47:19.550,לא שמתי לב,לא תודה רבה,לא הצלחתי לעלות על החוקיות אם הייתה,כן זזו ימינה או שמאלה ולעיתים נשארו במקום,כן,כן,לא היה קשר,לבחון אחרי תנועת העיניים או זריזות או שימת לב לחוקיות,חשבתי שהמטרה היא לנבא את העיגול הבא אך שמתי לב שאין חוקיות
156,39586:2023-04-19 11:06:36.492,לא,לא,לא,לא,כן,כן,הופיעו כשנלחץ הכפתור המתאים ,לבדוק את מהירות התגובה של לחיצה על כפתורים שונים בהקשר לרצפים הקודמים,הטעייה
157,395:2022-08-08 18:40:54.186,לא ששמתי לב אבל כנראה שכן,לא,כל פעם הקפיצה הייתה טיפה יותר למעלה עד שהם הבזיקו ולאחר מכן ירדה למטה,כן,כן,כן,לא הרגשתי קשר כלשהו אבל זה שהם שינו מקום כן גרם לי לתהות לגבי זה  מה שיכל לשנות את זמן התגובה שלי,תשומת לב לפרטים בזמן ביצוע פעולות נוספות,חלק מהחוקיות או לסמן תגובה איטית או מהירה במיוחד
158,39616:2022-12-22 17:07:46.968,קשה לי לדעת אם זה היה מספר קבוע אך כל כמה כדורים בצבעים שונים היה רצ באותו צבע,לא,לא שמתי לב לכך,לא ששמתי לב,לא ,כן,רק כשעניתי נכון הם הופיעו,בדיקת קשב והסחות דעת,בדיקת הקשב
159,39649:2022-12-31 18:13:29.014,לא ששמתי לב,לא,לא חושב שהייתה חוקיות,לא,לא,כן ,לא שמתי לב,ריכוז לאורך זמן,לא
160,39658:2022-12-29 09:03:49.456,לא שמתי לב,אולי לאחר שאקרא על הניסוי יותר,יכול להיות כדי לנבא את הקפיצה הבאה אבל אני לא יודע,לא,כן,כן,כשהצלחתי הפכו ללבן,התמודדות עם הרגלים,לא יודע
161,39685:2022-12-26 21:08:12.405,לא,לא,כן שלוש שתיים אחד,לא,כן,כן,האיטו,לבדוק עירנות ודיוק בסקרים,לבלבל
162,396:2022-08-09 18:31:46.070,לא שמתי לב,לא,לא,לא,לא,כן,ברגע שצדקתי זה היה לבן,לא יודע,לא יודע
163,39766:2023-01-28 15:09:24.485,נדמה לי שמדי מספר צעדים הופיע אותו עיגול במשך מספר פעמים,לא,הם הצביעו על המשך הופעת העיגולים בצעד הבא,אולי כשלחצתי מיד על המקש הנכון היה הבזק ולא כשתיקנתי את הלחיצה כלומר כשהלחצן הראשון שלחצתי עליו היה שגוי,כן,כן,לא מצאתי קשר,לנסות לאתר חוקיות ובכך להגביר את מהירות התגובה ולדייק אותה,להראות את הכיוון של המשך המשחק של העיגול הבא
164,397:2022-08-09 14:47:30.696,לא נראה לי,לא אבל אשמח לראות מסקנות שלו כשיהיו,לא נראה לי,לא שמתי לב לחוקיות נוספת,לא זוכרת,כן הם הבזיקו בלבן כשצדקתי,כשצדקתי הם הבזיקו בלבן וכשטעיתי הם לא,אולי לראות איך משפיע עליי מתן משוב בעזרת הנקודות הלבנות,לזרז את התגובות שלי אולי
165,398:2022-08-09 15:45:43.375,לא  בטוחה,לא תודה רבה,לא,עיגולים לבנים קפצו לעיתים,כן,כן   ,כשעניתי נכון היה הבזק לבן,כושר ריכוז וזמן,להוציא אותי מריכוז
166,39943:2023-02-28 18:39:55.052,לא שמתי לב,לא,כן לא יודע מה הייתה,לא,כן,כן,לא יודע,לבדוק תשומת לב לאורך זמן במשימה חוזרת,להסיח את הדעת מהכדור הבא
167,39979:2023-03-02 10:20:46.064,לא שמתי לב,לא,לא שמתי לב,כן כאשר פגעתי בנקודה,כן,כן,לא,לבדוק עירנות ותגובה,לא יודעת
168,399:2022-08-14 12:56:44.048,כן,לא,הם קרו לאחר כל פעם שלחצתי על האות הנכונה,לדעתי לא,כן לפעמים הם זזו לצדדים, כן  שמתי לב ,זה קרה לאחר שלחצתי על האות המתאימה ,לראות האם השפעה של אפקטים חיצוניים משפיעה על הקצב והריכוז במשימה המוגזרת,לבלבל ולמשוך את תשומת הלב לכדורים ולהט את הקצה
169,40084:2023-03-16 16:41:22.175,אני מעריכה שכעבור התמקדות זמן מה ביד אחד קרה מעבר חד ליד השניה ואז קפיצה מהירה חזרה ליד הראשונה,אשמח לדעת מה הייתה מטרת הניסוי האמיתית,התחושה הייתה שמתמקדים זמן מה ביד אחת ואז קורה מעבר חד ליד השניה למקש המרוחק,מעבר לתחושה שקיבלתי שההבזקים לעיתים הופיעו בעמודות צמודות לא הבחנתי בחוקיות אחרת,כן,כן,היה נראה שההבזקים לעיתים מופיעים בעמודה ליד,לבדוק השפעה של הסחה ויזואלית על הביצוע ולבדוק את היכולת לא לשקוע לתנועה המוטורית הנוחה בצד אחד או במקשים קרובים,להכשיל לשלב הבא או לפגוע בביטחון בשלב הנוכחי
170,40087:2023-03-17 17:33:51.110,לא שמתי לב,לא,אולי זמן תגובה מהיר,לא,לא,כן,אין לי מושג,משהו שקשוב לקשב וריכוז,לא יודעת
171,400:2022-08-17 11:46:11.538,לא,לא,זזו לקו אחד ליד,לא,כן,כן,כשלחצתי על המקש הנכון הכדור הפך ללבן,לראות האם הסחי דעת משפיעים על התגובות,לבלבל אותי
172,40165:2023-04-22 12:59:17.153,לא יודעת,לא,אם הם היו בצד ימין של המסך הם קפצו ,לא,כן ,כן ,כל פעם שהצלחתי ללחוץ על האות הנכונה זה הבזיק בלבן ,אולי למדוד ריכוז ,להראות שהצלחתי או לבלבל אותי 
173,401:2022-08-18 12:16:28.340,לא שמתי לב לכך אך כן שמתי לב שכשצבע מסוים לא הופיע להרבה זמן הוא הופיע ישר אחר כך לא שמתי לב כל כמה זמן אך כן מצאתי את עצמי מנחש וצודק לגבי זהות הצבע הבא לפי תחושה של מי לא הופיע הרבה זמן,לא,אני מעריך שיש קשר לזמן תגובה אך יכל גם להיות שרירותי,לעיתים ההבזקים היו בהמשך המסלול של העיגול ולעיתים לא לדעתי זה קשור לזמן התגובה שלי,כן,כן,ההבזקים התרחשו כשלחצתי על המקש הנכון,לנסות להבין האם הפידבק שקיבלתי מהצלחה השפיע על הסיכוי שלי להצליח שוב דבר שהושג בעזרת ההבהובים הלבנים שלעיתים קפצו ולעיתים היו במסלול,אני משער שהקפיצה הייתה קשורה לזמן התגובה או נועדה לגרום לי להתבלבל במיקום כל צבע כלומר שאני מצליח ללחוץ על העיגול הימני אך ההבזק מופיע במסלול השמאלי אני עלול לקשר את ההצלחה עם המסלול השמאלי ולהתבלבל בסבב הבא אחריו
174,40246:2023-04-20 19:19:46.910,היית חזרתיות,לא,לא יודע,כן,כן,כן,ניסיתי להתבסס על זה,לבדוק תשומת לב לחוקיות,לא יודע
175,40285:2023-04-26 21:08:53.704,לא שמתי לב,לא,לא,לא יודע,כן, לא,לא יודע,לא יודע,לא יודע
176,40369:2023-06-25 09:52:19.022,לא שמתי לב,לא,לא הצלחתי למצוא חוקיות,ניסיתי למצוא חוקיות ולא מצאתי,כן,כן,ניסיתי להבין אם הם מעידים על הופעת העיגול הבא משהבנתי שלא ניסתי לא להתבלבל בגללם,לבדוק אם ניתן לחזות את הופעת העיגולים מתוך הסימנים ,לבלבל
177,40474:2023-05-11 10:26:50.911,לא ששמתי לב למשהו כזה,לא,לא חושב שהייתה,לא,כן,כן,לא יחסתי להם משמעות,לבדוק אם הבזקים בשלב מסוים ישפיעו על המענה בשלב הבא,להסחה של השלב הבא
178,40477:2023-05-18 18:22:04.076,לא,לא תודה ,ככל שיש תגובה זריזה לעיגול הקפיצה מבוצעת יותר מהר,זריזות התגובה,כן,כן ,בהתחלה הפריע אחר כך התרגלתי,לבדוק מהירות התגובה שלנו לזמן התשובה עם כל מיני הסטות כמו עיגול לבן או קפיצות,להסטת הריכוז
179,40480:2023-05-13 17:13:24.373,לא,לא,לא,לא,כן,    , לט היה קשר,לבדוק קשר עין לבין שליטה על אצבעות,לשבש הראיה
180,40495:2023-05-20 12:51:21.967,כן,לא ניסוי יפה ובהצלחה,לא,לא,כן, כן,לא השפיעו,למדוד את דרגת הריכוז,להשפיע על הריכוז
181,404:2022-09-15 21:25:13.283,לא ששמתי לב,לא,לא שמתי לב לאחוז ניבוי גבוהה בקפיצה,לא היה אחוז ניבוי מאוד גבוה לפי איך שזה הרגיש,כן,כן,לא השפיע גם כשהמיקום של העיגול הלבן היה בעמודה של צבע אחר,לא יודעת,לגרום לקשב שלי לעבור לעמודה אחרת כרמז מנבא להיכן המטרה אולי תהה בצעד הבא
182,40510:2023-05-13 20:55:39.761,לא ששמתי לב,נראה לי שהתפספסה לי שאלה אחת בכל מקרה תודה,לא,כן אבל לא הבנתי אותה,כן,  ,  כן,לבדוק מעקב של המוח תוך כדי התרכזות בדבר ויזואלי,לבדוק אם אני עוקבת עם עיניי אחרי שינויים ויזואליים
183,40516:2023-05-10 12:01:19.989,לא שמתי לב,לא,לא,לא,כן,כן,אחרו את התגובה שאחרי כי לקחו תשומת לב,לבדוק מבירות התגובה והשפעת דברים קטנים שמתרחשים עליה,לא יודעת
184,405:2022-09-15 20:43:17.754,לא נראה לי,בהצלחה ,לא,לא,כן,כן,לא חושבת שהיה קשר,לבדוק את ההצלחה שלנו תוך קבלת משוב,אני לא יודעת
185,406:2022-09-17 22:14:52.151,לא יודע,לא,לא הייתה,לא,כן,כן,לא היה,לבדוק את התגובה של המשתתפים,לא יודע
186,407:2022-09-16 19:00:23.070,לא שמתי לב,ניסוי מעניין ואשמח לדעת מה הוא בדק,אני לא הצלחתי לשים לב לחוקיות,לא שהצלחתי לשים לב,לגמרי ותהיתי לעצמי למה בהתחלה חשבתי שזה באג במערכת,כן,תהיתי לעצמי מדוע לעיתים הם מופיעים באותו מקום בו הופיע העיגול הצבעוני ולעיתים הם הופיעו במקומות אחרים,למדוד רמת ריכוז לאורך זמן עם הסחות דעת,לדעתי על מנת ליצור בלבול בסיון הבא
187,408:2022-09-16 18:58:18.758,לא שמתי לב,הרגיש שלקראת אמצע הניסוי הוא הגביר קצת קצב,לא,לא,כן,כן,ללא קשר,לבחון מהירות תגובה מול תשבות נכונות והסחת דעת לא סימטרית,הסחת דעת לצבע אחר
188,409:2022-09-18 21:10:29.186,לא שמתי לב,לא,לא שמתי לב,לא שמתי לב,כן,כן,אם צדקתי הבזיק בלבן,בדיקת מהירות תגובה או בדיקת עירנות לדברים שוליים,חשבתי שזו בעיה בתוכנה
189,410:2022-09-17 12:38:49.249,צבע אחר היה בוהק יותר בחלק העליון,לא,הקפיצות נטו למרכז,לא ששמתי לב,כן,כן,הבזק לבן סימן שצדקתי,לבדוק את תלות ההצלחה בזמן  ככל שעובר יותר זמן הלחיצות קורות יותר באינסטינקט אבל גם הסבלנות יורדת,להטעות ולגרום לבלבול
190,411:2022-09-27 18:09:41.656,לא שמתי לב,לא,לא,לא יודעת,כן,כן,לא יודעת לא שמתי לב לקשר,לבדוק איך לאורך זמן הריכוז משתנה ואיך נראות התוצאות אחרי ביצוע טעות,לבלבל על המיקום של העיגול הבא
191,412:2022-09-18 11:31:30.468,לא,לא,לא,לא,לא, כן,אם הצלחתי או לא,לבדוק את הקורדינציה,לבדוק את הקורדינציה
192,413:2022-09-18 11:18:47.323,לא שמתי לב,לא,מהירות התגובה,הזמן שבו הצלחתי להגיב,כן,כן כל פעם שצדקתי,כל פעם שצדקתי היה הבזק,למידת חוקיות מסוימת או בדיקת ריכוז,לרענן את הראיה בין כל הבזק
193,414:2022-09-18 13:37:56.806,לא,לא,כן ראו תשובה קודמת,לדעתי אם לחצנו מאוחר יחסית על התו הנכון אז ההבזק היה לכיוון מעלה,כן,כן,העיגולים הבזיקו רק כשלחצתי על התו הנכון,לבדוק זמן תגובה לגירוי חדש לאחר שחווינו אותו גירוי מספר רב של פעמים למשל ללחוץ ירוק אחרי שהרבה פעמים לחצנו סגול,כמו שאמרתי לסמן על התזמון של הלחיצה של תו נכון
194,415:2022-09-18 11:35:07.299,היו מספר קומבינציות שחזרו על עצמן,האחוזים למטה גרמו קצת להתבלבל ,מיקום העיגול הבא או ללא חוקיות,לא בכל המקרים אבל לעיתים סימנו איפה יהיה הבא,כן,כן,כשעניתי נכון נצבעו בלבן וייתכן שהסטייה העידה היכן יהיה הבא,בחינת תגובה,או להכווין או להטעות
195,416:2022-09-20 10:15:52.343,לא שמת לב לכך,לא,לדעתי לא הייתה חוקיות,לא,כן,כן,כשדצקתי והצלחתי היה הבזק לבן,לברר האם שוני באופי ההבזק הלבן משפיע על הביצועים לאורך זמן,לא חשבתי שיש מטרה לקפיצה
196,417:2022-09-18 17:37:59.428,התרגלתי למקשים החיצוניים ואז קפצו הפנימיים,מלחיץ אך כייפי ,קודם החיצוניים ואז פנימיים,לא יודע   ,כן,כן,         ,לבדוק עירנות ורמת ביצוע ,לבלבל
