Unnamed: 0,unique_participant,האם דבר מסוים התרחש בניסוי בכל מספר צעדים קבוע?,האם יש לך שאלות כלליות או הערות על הניסוי?,האם לדעתך הייתה חוקיות נוספת ששלטה בהבזקים הלבנים?,האם שמת לב לכך שלעתים העיגולים הבזיקו בלבן?,מה היה הקשר בין הבזקים האלה ובין תגובותיך?,מה לדעתך הייתה מטרת הניסוי?
106,37714.0:2022-06-02 13:18:56.837,לחיצה על מספר מקשים ביחד,לא,זמן תגובה או בלבול באותיות שגרמו לנקודות לא להבהב,כן,ההבזקים גרמו לי להגיב מהר יותר,לבדוק את רמת הריכוז 
107,38242.0:2022-07-13 17:52:26.497,כמתואר לעיל,לא,כמתואר לעיל תקינות התשובה במידה והעיגול נמצא במעגל של 5 העיגולים בעלי ההבזק או שיכולה להיות לחיצה נכונה אך העיגולים היו ב 5 העיגולים במעגל בלי הבזק,כן,בהתחלה חשבתי שההבזקים מסמנים שלחצתי נכון אך בהמשך הבחנתי שזה נכון חלקית כי כל 5 ההבזק מפסיק ל 5 העיגולים שאחרי כלומר מעגלים של 5 עיגולים עם ובלי הבזק כל פעם,בדיקת מהירות התגובה ותקינותה לפי הצדדים ימין ושמאל קרי בדיקת התגובה גם של הצד הדומיננטי והשפעת ההבזקים על התגובה אם הם יכולים להשפיע על מהירות או תקינות התגובה כי בהתחלה כמו שכתבתי לעיל יכול להיות שאי הבזק עלול לגרום למישהו לחשוב שתגובתו שגויה אך בהמשך ניתן להבחין כי לא כך הם פני הדברים
108,38245.0:2022-07-25 10:39:30.018,ממש לא ראיתי זאת אז לא,לא אבל נהניתי,לא,לא,לחצתי איפה שראיתי בזק זה עזר לי לדעת איפה צריך ללחוץ מהיר ,לבחון את הריכוז של בן אדם 
109,38251.0:2022-07-13 11:40:08.909,כן,לא,כן, לא,לא יודעת,עקביות ויכולת תגובה
110,38254.0:2022-07-14 16:39:54.269,לא יודע,תודה רבה,לפי מספר טעויות לדעתי,כן,כאשר היו הבזקים קיבלתי יותר סיפוק,לבדוק האם מהירות תגובתי ודיוקה היו משתפרים כאשר יש את ההבזקים הלבנים ביחס למצב שאין אותם כלומר בדיקת שיפור המוטיבציה שלי
111,38320.0:2022-07-25 10:20:59.148,עיגול  ירד  מלמעלה,לא,לא יודעת,לא, תשומת לב,לבדוק  את מהירות התגובה ותשומת לב
112,38326.0:2022-07-20 18:01:24.521,לא,לא,לא,כן,כן,מהירות תגובה בהתאם לתוצאה
113,38365.0:2022-08-03 09:45:17.164,הבזקים,לא,לא,כן,עורר,קשב
114,38371.0:2022-07-29 20:59:01.911,לא ששמתי לב,לא,לא,כן,כשלחצתי על הצבע הנכון בזמן,להבין אם לראות תוצאה שהיא ההבזק הלבן יעודד אותנו ללחוץ נכון
115,38554.0:2022-08-09 14:32:54.642,סביר שכן,לא,חשבתי שזה היה מתוכנת מראש שחלק מהזמן יש וחלק מהזמן אין,כן,אני חושבת שכשהיו הבזקים עניתי מהר יותר וגם ההבזקים נתנו לי ביטחון שהתשובה שלי התקבלה,לבחון האם ההבזקים משפיעים על מהירות התגובה שלי
116,38671.0:2022-09-04 11:19:11.122,לא ששמתי לב,בהצלחה,לא ששמתי לב,כן,כשהופעו ההבזקים זה גרם לי להבין שצדקתי ודירבן אותי ,להבין את הקשר בין סממנים שגורים לך להבין כי צדקת לבין הצלחה במשימה
117,39787.0:2023-08-07 17:23:43.514,לא שמתי לב לשום דבר מלבד זה שפעם היו הבזקים ופעם לא היו ,מה יהיה אפשר להסיק מכך ברור שאנשים מעדיפים שהאור יובזק כי אנחנו מקבלים פידבק,שאולי אם טעיתי בכפתור אז גם אם אלחץ אחר כך בכפתור הנכון זה לא יובזק,כן בוודאי חששתי אולי יש בעיות באינטרנט בגלל שזה לא הובזק,היה קשר לזה שקיבלתי ביטחון על זה שהמחשב קלט את הלחיצה שלי,לראות איך אנשים מגיבים עם או בלי הבזקים ולאורך זמן
118,5137.0:2022-08-15 17:49:59.294,לא,לא,לא שמתי לב לחוקיות נוספת,כן,תיקפתי נכון,לבדוק עירנות
